name,variant,condition,city,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,Original_Price,Price
Hyundai Venue,S (Mid),Fair,Metro (High Demand),2021,46070.87,Petrol,Manual,Third Owner,18.0,998,118,5,1165111.74,515819.12
Volkswagen Virtus,Comfortline (Mid),Fair,Tier 2 (Medium),2015,48496.47,CNG,Manual,Second Owner,18.0,1498,148,5,1543531.94,482283.21
Kia Carens,HTE (Base),Good,Rural (Low),2012,40662.21,CNG,Automatic,First Owner,16.0,1497,113,7,1363757.13,437017.62
Kia Sonet,GTX (Top),Good,Metro (High Demand),2018,135108.51,Diesel,Manual,First Owner,18.0,998,118,5,1252853.34,521076.11
Hyundai Verna,S (Mid),Poor,Metro (High Demand),2015,139160.03,CNG,Automatic,First Owner,19.0,1497,113,5,1382466.01,433478.83
Tata Altroz,XE (Base),Fair,Tier 2 (Medium),2017,93478.91,Diesel,Manual,Third Owner,19.0,1199,84,5,935086.67,290915.88
Hyundai Verna,S (Mid),Fair,Tier 2 (Medium),2024,60988.54,Diesel,Automatic,Third Owner,19.0,1497,113,5,1586419.46,838081.76
Kia Sonet,GTX (Top),Good,Tier 2 (Medium),2021,107450.54,Petrol,Manual,First Owner,18.0,998,118,5,1228671.52,694310.2
Maruti Suzuki Brezza,LXI (Base),Fair,Tier 2 (Medium),2013,78737.5,Petrol,Manual,First Owner,19.0,1462,103,5,949606.31,314409.41
Hyundai Grand i10,SX (Top),Fair,Rural (Low),2014,12705.37,Diesel,Automatic,First Owner,20.0,1197,82,5,987482.06,325555.62
Maruti Suzuki Swift,ZXI (Top),Good,Tier 2 (Medium),2025,102309.02,Petrol,Manual,First Owner,21.0,1197,82,5,711572.03,622976.42
Maruti Suzuki Ertiga,VXI (Mid),Excellent,Metro (High Demand),2023,85924.26,Petrol,Automatic,First Owner,20.0,1462,103,7,1272835.09,1096654.7
Maruti Suzuki Swift,VXI (Mid),Good,Rural (Low),2023,71191.67,Diesel,Automatic,First Owner,21.0,1197,82,5,1005344.11,880865.74
Honda Elevate,VX (Top),Good,Tier 2 (Medium),2012,52802.69,Petrol,Manual,Second Owner,15.0,1498,119,5,1449452.31,446128.59
Tata Altroz,XE (Base),Fair,Metro (High Demand),2021,27088.59,CNG,Manual,First Owner,19.0,1199,84,5,805895.68,435288.11
Maruti Suzuki Baleno,LXI (Base),Good,Tier 2 (Medium),2024,5185.86,CNG,Automatic,Second Owner,22.0,1197,88,5,918084.32,718193.27
Tata Safari,XM (Mid),Excellent,Rural (Low),2016,58819.57,Petrol,Automatic,Third Owner,14.0,1956,167,7,2252632.91,686137.97
Mahindra XUV300,Base,Fair,Rural (Low),2016,97336.21,CNG,Manual,First Owner,17.0,1197,108,5,1229458.76,383100.38
Maruti Suzuki Swift,LXI (Base),Good,Rural (Low),2022,59243.53,Diesel,Manual,Second Owner,21.0,1197,82,5,739798.46,451307.8
Mahindra Bolero,Base,Fair,Metro (High Demand),2016,120025.71,CNG,Automatic,First Owner,16.0,1493,75,7,1139383.44,365987.87
Hyundai Grand i10,S (Mid),Good,Metro (High Demand),2016,132514.67,Petrol,Automatic,Third Owner,20.0,1197,82,5,854579.39,285086.2
Maruti Suzuki Alto,ZXI (Top),Excellent,Metro (High Demand),2019,25338.04,Petrol,Automatic,First Owner,22.0,796,47,5,641319.78,468350.4
Hyundai i20,S (Mid),Good,Tier 2 (Medium),2018,16973.04,CNG,Manual,First Owner,20.0,1197,82,5,846742.74,398580.28
Kia Carens,HTK (Mid),Good,Tier 2 (Medium),2022,99610.76,Diesel,Manual,Third Owner,16.0,1497,113,7,1369815.3,691936.86
Tata Altroz,XM (Mid),Excellent,Metro (High Demand),2019,120445.66,Diesel,Manual,Third Owner,19.0,1199,84,5,1047597.27,399547.74
Kia Sonet,HTE (Base),Fair,Tier 2 (Medium),2025,80319.28,Diesel,Automatic,Second Owner,18.0,998,118,5,1342625.89,821946.36
